alpha,delta,class,redshift
135.6891066036,32.4946318397087,GALAXY,0.6347936
144.826100550256,31.2741848944939,GALAXY,0.779136
142.188789562506,35.5824441819976,GALAXY,0.6441945
338.741037753146,-0.402827574587482,GALAXY,0.9323456
345.282593210935,21.1838656010284,GALAXY,0.1161227
5.43317603738404,12.0651859913473,GALAXY,0.477009
200.290475389797,47.199402322911,GALAXY,0.660012
328.092076173419,18.2203104791579,GALAXY,0.4595958
243.986637469699,25.7382804319961,GALAXY,0.5914091
331.502029984917,10.0358020468494,GALAXY,0.1521936
344.984770271278,-0.352615781151814,GALAXY,0.8181597
244.824523050208,25.1545639915034,GALAXY,0.4849288
167.131668785257,67.3399356293198,GALAXY,0.1115879
171.975424574048,67.747450140585,GALAXY,0.3747563
145.273037350992,46.9601338072329,GALAXY,0.6623096
241.426267237893,27.2246949401119,GALAXY,0.03208113
132.922468009168,4.52186469749673,GALAXY,0.2509563
143.288017625325,5.55205221134132,GALAXY,0.4612782
140.600038144857,5.26575770443853,GALAXY,0.6110625
333.311510605612,-0.376122967149355,GALAXY,0.09108476
337.093435465929,-0.311773269814488,GALAXY,0.1482283
252.75854857538,19.4935268704245,GALAXY,0.3846326
240.213908860967,27.9642908504061,GALAXY,0.546072
255.574893510297,45.4787029190988,GALAXY,0.7491816
144.721737004651,5.84684728531905,GALAXY,0.5091722
44.9233602672725,3.17554875120939,GALAXY,0.5981273
136.263071151474,3.94400308209486,GALAXY,0.5215806
140.512982663685,45.4036126655435,GALAXY,0.1769632
121.610009731402,41.9287206884987,GALAXY,0.349364
146.925784211642,14.8800374884817,GALAXY,0.8072085
179.698615035168,33.6731976195615,GALAXY,0.2701222
332.087156120468,17.4159202476795,GALAXY,0.5719764
188.068001246379,7.56120147588139,GALAXY,0.5932347
40.7957426727124,3.56436811387184,GALAXY,1.065883
129.628095454774,29.0590565517086,GALAXY,0.3208058
129.199020520055,28.701754063241,GALAXY,0.3466544
341.391899140769,-0.317673100140581,GALAXY,0.8201154
355.175131716811,11.848610643382,GALAXY,0.5075994
5.01661810379198,11.9573359818952,GALAXY,0.2520262
117.825452528454,28.948281038572,GALAXY,0
7.29516796176921,15.2714947961177,GALAXY,0.5326954
242.073562865175,30.739844331199,GALAXY,0.1566293
238.485802442414,33.1247786340257,GALAXY,0.5283154
246.438875455855,27.7366426502015,GALAXY,0.4425065
230.213266649179,33.302082096206,GALAXY,0.272813
252.654652461705,19.7327890298146,GALAXY,0.5948668
240.664802982589,27.5865446667677,GALAXY,0.08925132
192.345064572835,37.4351202333546,GALAXY,0.3488444
241.437320130156,27.1800505894988,GALAXY,0.5246236
254.35329971425,18.2964735837567,GALAXY,0.1709112
229.608688197762,33.5026548373522,GALAXY,0.08400773
252.410933478933,19.7573360099678,GALAXY,0.2538029
236.802296646465,29.8014259753158,GALAXY,0.4925865
338.660179708044,20.3082628071174,GALAXY,0.6866302
332.76132176101,19.2586400374563,GALAXY,0.2032944
124.231583725633,3.64340382825935,GALAXY,0.08687948
338.518632040421,-0.370661906976297,GALAXY,0.7347449
357.151519310265,-8.04340227226689,GALAXY,0.512866
121.181247403482,32.1942742864031,GALAXY,0.3249989
136.50169227455,0.981632054480291,GALAXY,0.564565
131.92776911161,11.6904792883512,GALAXY,0.6977692
197.529151271646,33.1567081128158,GALAXY,0.521283
153.447648737855,56.0590418832181,GALAXY,0.3701703
160.056572865724,23.0049217898175,GALAXY,0.02476665
191.974315354491,7.44837176532022,GALAXY,0.4799453
173.319549108134,35.8847505134926,GALAXY,0.3306466
2.17025243899116,16.1129585367605,GALAXY,0.4689722
348.335814703174,25.6855811217627,GALAXY,0.6862542
44.3740887871866,3.01793310249287,GALAXY,0.524215
20.7826052587098,-6.8769520437188,GALAXY,0.5170577
150.880031140543,4.87368668266211,GALAXY,0.6578612
132.820858276071,30.873199791688,GALAXY,0.7165546
140.550326806812,34.9021642092093,GALAXY,0.2340868
145.198313004042,31.3617932858405,GALAXY,0.8152969
141.948951071529,35.6620646980698,GALAXY,0.625698
140.679263572375,35.0481102746949,GALAXY,0.2301247
239.331945351186,28.5818088551579,GALAXY,0.07876735
8.34887899751573,11.9413980746934,GALAXY,0.5262727
22.7468411549056,11.343879181934,GALAXY,0.3322576
204.005516103333,46.7582651825082,GALAXY,0.1754265
9.9131953773603,-1.11254843886015,GALAXY,0.6868312
333.110113556786,-0.415612289735027,GALAXY,0.912237
253.521743938622,19.0575243547059,GALAXY,0.3766502
332.496561826757,19.1575781135064,GALAXY,0.5577476
27.9236363998817,11.0443882851531,GALAXY,0.4870702
129.669106046254,39.0801416253006,GALAXY,0.6659987
335.546739232028,22.4328896013139,GALAXY,0.6919469
335.508182106642,22.4776939325036,GALAXY,0.7572532
1.73127597414486,16.0816630651569,GALAXY,0.3878387
339.609445684518,-0.401523854470724,GALAXY,0.1645852
333.354084626185,-0.320424235634456,GALAXY,0.09479433
348.949156625386,-1.88041775073836,GALAXY,0.5762115
155.382532176394,24.2073166441297,GALAXY,0.03836939
233.547039421357,57.8613990707295,GALAXY,0.3526742
218.494359527559,3.67296184403253,GALAXY,0.5233803
219.40433442647,3.6293585742883,GALAXY,0.378709
8.49782497454447,15.3419965132987,GALAXY,0.4870008
12.2791158521996,15.1762961831479,GALAXY,0.4779218
40.1255063822218,3.50401340629323,GALAXY,0.9313549
173.984510573211,53.8740478020145,GALAXY,0.3390239
171.711826319704,20.4990844570398,GALAXY,0.04427182
146.439281961542,2.23754330724934,GALAXY,0.6780099
154.999257146548,2.51942904347629,GALAXY,0.1045373
129.577716506723,29.0453999814009,GALAXY,0.4664853
135.688548624923,32.3654323638765,GALAXY,0.049568
216.738614869314,3.7081905019947,GALAXY,0.3630285
222.879538977544,3.35932532119709,GALAXY,0.1833921
6.2918040134191,15.2924019487302,GALAXY,0.5043948
244.904320051815,24.9560966543311,GALAXY,0.3778846
338.792718554591,20.3337181430082,GALAXY,0.6592138
344.173119052227,19.1326457588803,GALAXY,0.63022
344.736394530271,19.2124364739878,GALAXY,0.5368775
345.41776584805,19.3134167997443,GALAXY,0.5405381
338.767071690277,20.2249051558688,GALAXY,0.695454
137.296937833859,43.6657747561142,GALAXY,0.680968
116.562614034198,27.521129220838,GALAXY,0.1463097
136.723097829636,43.4895957974936,GALAXY,0.119708
119.12557702719,30.2438301914026,GALAXY,0.6291084
6.92376243049418,-7.17138560359051,GALAXY,0.6554138
7.42232037576863,-7.09241445788831,GALAXY,0.3134138
336.90007420688,18.1343553952235,GALAXY,0.5490854
1.45048956671434,16.1898486095435,GALAXY,0.1133807
0.897616927134976,-8.05245344020098,GALAXY,0.6165675
346.538525268156,-1.83156718577721,GALAXY,0.4907817
347.329738418005,-1.75319601374253,GALAXY,0.4816059
184.931500364967,7.66428981491179,GALAXY,0.1373082
198.663348272165,7.31675648145792,GALAXY,0.5038501
336.845899113747,19.9881605784729,GALAXY,0.2128639
330.930416169135,18.7688431177128,GALAXY,0.5991167
331.081819113914,18.8235147795919,GALAXY,0.3423518
22.8281955769751,11.4795430032417,GALAXY,0.2151138
316.825682027616,7.86502498631126,GALAXY,0.6264167
40.4976776739913,3.56016093360399,GALAXY,0.5301569
160.724470900332,25.204119545766,GALAXY,0.8744593
6.12530128650044,-1.16940771917095,GALAXY,0.5021392
253.903287996382,21.6462439879023,GALAXY,0.6598983
