obj_ID,alpha,delta,g,r,class,redshift
1.2376709610881682E+18,39.1496905996484,28.1028416109607,20.03493,19.17553,STAR,-7.895373E-06
1.2376805077212204E+18,345.801874402853,32.6728678500872,20.14496,19.41948,STAR,7.182029E-05
1.2376785980875082E+18,353.201522444633,3.08079593630972,21.44267,20.95315,STAR,-0.000428576
1.2376785980967488E+18,14.3831352206597,3.21432619593864,20.5573,19.94918,STAR,-0.0004402762
1.2376575897750735E+18,144.785292662052,46.8264956757313,22.33601,20.92259,STAR,-0.0001203588
1.237660635987837E+18,136.418378205442,36.1526785230781,22.21825,24.8026,STAR,0.0003084856
1.2376621945254054E+18,181.645330520821,42.2739952211876,19.77107,19.27176,STAR,4.827565E-05
1.2376728165105667E+18,344.769888418609,26.928548636923,20.02736,19.2826,STAR,-9.960094E-05
1.2376788584768476E+18,12.2228941633125,11.8671511374539,20.99637,20.77479,STAR,-0.0005969275
1.2376607519459907E+18,64.8756250132453,28.1309225108419,22.61023,19.79689,STAR,0.0001033789
1.2376621945265198E+18,184.914328002243,42.4134785348821,23.02978,21.6433,STAR,0.0004171139
1.237666211929852E+18,271.620556993237,24.8103341729053,20.6308,19.96252,STAR,-0.0006081365
1.2376675379966781E+18,125.593752808685,13.4774312094829,24.19171,22.57484,STAR,0.0002365066
1.237670961090331E+18,42.0485148161401,32.4660193857631,18.61152,17.18664,STAR,3.690221E-05
1.2376619722525253E+18,169.41723647266,7.71984985397181,22.03635,21.83119,STAR,0.0002660389
1.2376575897860183E+18,182.941369205209,54.4456260755977,20.72246,20.20829,STAR,-0.0001066996
1.237666210854536E+18,267.627277127721,25.4107811198016,20.22803,19.60719,STAR,-0.0001980184
1.2376675380120125E+18,161.184315108723,23.1394411990996,17.77944,17.10706,STAR,-0.0001976791
1.237662342166348E+18,253.232180790975,20.1819818217692,19.48184,18.09411,STAR,0.0001164814
1.2376674317164874E+18,169.863745026212,27.7983851231628,21.998,20.30022,STAR,7.991327E-05
1.23766835404E+18,263.060463171979,34.1357995870585,16.52499,15.95014,STAR,-0.0003682757
1.2376575897750738E+18,144.811691078362,46.9204767168268,21.51859,20.46167,STAR,-0.0001862192
1.2376503704765732E+18,167.697019527113,-2.44830139192326,21.62992,21.44386,STAR,0.0004614203
1.2376619244786163E+18,139.021640442995,10.84679252694,22.60838,20.95995,STAR,-0.0001373336
1.2376619722692362E+18,207.975791778366,7.51592790617052,17.92512,17.56229,STAR,-2.126671E-05
1.2376802720347597E+18,329.532004619222,18.5031416600703,21.65676,20.38945,STAR,-0.0001722275
1.2376802720412475E+18,345.028209792962,21.0837308693221,21.34279,20.16104,STAR,-7.888919E-05
1.2376655349323535E+18,242.710101469745,17.8369965044722,19.24946,19.04356,STAR,-0.0002758985
1.2376655349316324E+18,241.056947041243,18.4822357799607,19.4245,19.06592,STAR,0.0001648475
1.2376503704818158E+18,179.750203729945,-2.67338992063111,19.81905,19.72314,STAR,0.0007564067
1.237650370486272E+18,189.854147137917,-2.6365991438063,15.12915,14.56525,STAR,0.0001042941
1.2376803112271875E+18,354.438294950015,32.1956534454429,18.22012,17.82656,STAR,-0.0004241176
1.2376576085770898E+18,135.743335771008,46.4102967252834,19.10901,18.82173,STAR,-0.0003249481
1.2376675379967432E+18,125.885312513081,13.4941271290178,18.03484,16.90619,STAR,2.983179E-05
1.2376709610862019E+18,36.9152637639637,24.0863717665421,17.12819,16.40216,STAR,-1.305648E-05
1.237672816514761E+18,349.747156806026,18.5376896260226,17.96239,17.82065,STAR,-0.0001108782
1.2376712563691356E+18,66.5182054319798,17.1206537697449,16.49607,14.96787,STAR,8.571768E-05
1.237661972270482E+18,210.841126008519,7.31020405924207,20.95987,20.85843,STAR,3.85709E-05
1.237680297269527E+18,331.991577925921,18.389284987461,21.02409,21.08671,STAR,-0.0002444325
1.237667431717012E+18,171.212803907215,27.9994710961811,22.72488,21.18456,STAR,0.0001530178
1.2376674317177324E+18,173.046760737513,28.1156815226723,19.75046,20.15038,STAR,-0.0003287509
1.2376662108546665E+18,267.872733537679,25.2638809622857,17.11568,16.75286,STAR,-0.0004970237
1.2376529447862275E+18,0.72423584494851,16.1766593844192,18.97217,18.72278,STAR,0.0003305929
1.2376576085751892E+18,131.07991966703,43.5072323343369,24.28872,21.95005,STAR,-6.162505E-05
1.2376709610866609E+18,37.5043437510532,25.0965806884731,22.10259,20.4458,STAR,-8.180478E-05
1.2376788600750085E+18,343.068077070954,12.437708205418,21.95147,21.06702,STAR,-0.0002562863
1.2376675385453445E+18,152.480735871438,22.0196842155677,18.20431,17.75615,STAR,-0.0001649231
1.2376675369193308E+18,118.180953035133,9.49532304947236,17.49336,16.98946,STAR,0.0001636558
1.237667536923329E+18,126.856599714149,13.0430581225235,18.46646,17.95433,STAR,-1.526846E-05
1.2376637884976333E+18,131.795212095849,62.6119989003796,19.81859,19.46297,STAR,-0.000331681
1.2376728165134502E+18,348.247840835399,21.1217984083637,17.77208,17.22694,STAR,-0.0005510582
1.237678858463019E+18,339.940358139014,10.8143181175284,17.64078,17.24995,STAR,-0.0009713375
1.2376609613261048E+18,132.09142105925,30.3359572522221,21.43092,20.07493,STAR,0.0002107706
1.2376803112269906E+18,353.958267087475,32.1836665778371,20.87381,19.35272,STAR,-0.0004099222
1.2376805077252833E+18,356.791307124029,33.9274089934702,20.76554,20.66686,STAR,-0.0006255399
1.2376802720384294E+18,338.283267351509,20.1386178976798,21.54979,20.4519,STAR,5.893176E-05
1.2376623024392765E+18,227.721037129212,44.0842542394005,16.48556,16.03044,STAR,-0.0005101803
1.237668332027184E+18,218.463002374504,14.6588067967667,23.38116,22.05099,STAR,-6.400385E-05
1.2376683540360727E+18,258.744724489292,42.5670630294896,18.3574,17.99783,STAR,-0.0002688238
1.237680507724432E+18,354.464230352344,33.7966900825011,20.85361,20.0186,STAR,-0.0002714926
1.2376788584766508E+18,11.7015590553895,11.952484559089,22.08643,21.60446,STAR,-7.934187E-05
1.2376574013348257E+18,116.499958288657,27.4165669389102,22.15509,20.67092,STAR,7.031627E-05
1.2376576085772864E+18,136.122131175037,46.7124610683002,21.05354,19.59221,STAR,0.0001421649
1.2376675380118162E+18,160.776451081197,23.0534298038076,19.45664,19.07316,STAR,-8.691949E-05
1.2376675369372224E+18,158.899533664748,21.9252218972008,22.31317,20.80744,STAR,-7.10002E-05
1.23767096109079E+18,42.5694699186521,33.4473517498674,17.96079,17.32889,STAR,-0.0001603926
1.237667431713866E+18,163.249324624046,26.8726395573019,21.05738,21.07297,STAR,-0.0003634203
